# Coordinated beginning of month and monthly mean lakewide average water levels for Lake Erie
# Units: meters above IGLD 1985
# Coordinated period:  Jan 1918 through previous December
# Coordinated by the Coordinating Committee on Great Lakes Basic Hydraulic and Hydrologic Data
# www.GreatLakesCC.org
#
"Year","Month","Beginning of Month","Monthly Mean"
1900,1,173.9,NA
1900,2,173.77,NA
1900,3,173.83,NA
1900,4,173.95,NA
1900,5,174.06,NA
1900,6,174.07,NA
1900,7,174.06,NA
1900,8,174.04,NA
1900,9,174.01,NA
1900,10,173.89,NA
1900,11,173.81,NA
1900,12,173.8,NA
1901,1,173.74,NA
1901,2,173.72,NA
1901,3,173.55,NA
1901,4,173.69,NA
1901,5,173.71,NA
1901,6,173.8,NA
1901,7,173.89,NA
1901,8,173.9,NA
1901,9,173.89,NA
1901,10,173.8,NA
1901,11,173.71,NA
1901,12,173.68,NA
1902,1,173.69,NA
1902,2,173.58,NA
1902,3,173.49,NA
1902,4,173.71,NA
1902,5,173.81,NA
1902,6,173.92,NA
1902,7,174.04,NA
1902,8,174.22,NA
1902,9,174.09,NA
1902,10,174.09,NA
1902,11,173.98,NA
1902,12,173.89,NA
1903,1,173.87,NA
1903,2,173.78,NA
1903,3,173.83,NA
1903,4,174.09,NA
1903,5,174.28,NA
1903,6,174.24,NA
1903,7,174.24,NA
1903,8,174.22,NA
1903,9,174.16,NA
1903,10,174.04,NA
1903,11,173.92,NA
1903,12,173.84,NA
1904,1,173.72,NA
1904,2,173.77,NA
1904,3,173.78,NA
1904,4,174.13,NA
1904,5,174.33,NA
1904,6,174.39,NA
1904,7,174.36,NA
1904,8,174.33,NA
1904,9,174.24,NA
1904,10,174.15,NA
1904,11,174.03,NA
1904,12,173.92,NA
1905,1,173.83,NA
1905,2,173.75,NA
1905,3,173.66,NA
1905,4,173.8,NA
1905,5,173.98,NA
1905,6,174.15,NA
1905,7,174.27,NA
1905,8,174.24,NA
1905,9,174.16,NA
1905,10,174.09,NA
1905,11,173.93,NA
1905,12,173.92,NA
1906,1,173.89,NA
1906,2,173.96,NA
1906,3,173.86,NA
1906,4,173.89,NA
1906,5,174.03,NA
1906,6,174.07,NA
1906,7,174.13,NA
1906,8,174.13,NA
1906,9,174.12,NA
1906,10,174.04,NA
1906,11,174.01,NA
1906,12,173.98,NA
1907,1,174.06,NA
1907,2,174.18,NA
1907,3,174.03,NA
1907,4,174.15,NA
1907,5,174.18,NA
1907,6,174.27,NA
1907,7,174.35,NA
