# Coordinated beginning of month and monthly mean lakewide average water levels for Lake Superior
# Units: meters above IGLD 1985
# Coordinated period:  Jan 1918 through previous December
# Coordinated by the Coordinating Committee on Great Lakes Basic Hydraulic and Hydrologic Data
# www.GreatLakesCC.org
#
"Year","Month","Beginning of Month","Monthly Mean"
1900,1,183.47,NA
1900,2,183.38,NA
1900,3,183.35,NA
1900,4,183.28,NA
1900,5,183.32,NA
1900,6,183.37,NA
1900,7,183.37,NA
1900,8,183.47,NA
1900,9,183.6,NA
1900,10,183.75,NA
1900,11,183.73,NA
1900,12,183.64,NA
1901,1,183.52,NA
1901,2,183.41,NA
1901,3,183.34,NA
1901,4,183.32,NA
1901,5,183.37,NA
1901,6,183.41,NA
1901,7,183.52,NA
1901,8,183.61,NA
1901,9,183.61,NA
1901,10,183.55,NA
1901,11,183.57,NA
1901,12,183.49,NA
1902,1,183.4,NA
1902,2,183.31,NA
1902,3,183.26,NA
1902,4,183.25,NA
1902,5,183.31,NA
1902,6,183.4,NA
1902,7,183.49,NA
1902,8,183.52,NA
1902,9,183.52,NA
1902,10,183.52,NA
1902,11,183.51,NA
1902,12,183.49,NA
1903,1,183.41,NA
1903,2,183.34,NA
1903,3,183.23,NA
1903,4,183.26,NA
1903,5,183.34,NA
1903,6,183.54,NA
1903,7,183.55,NA
1903,8,183.63,NA
1903,9,183.64,NA
1903,10,183.67,NA
1903,11,183.64,NA
1903,12,183.58,NA
1904,1,183.44,NA
1904,2,183.37,NA
1904,3,183.34,NA
1904,4,183.31,NA
1904,5,183.31,NA
1904,6,183.46,NA
1904,7,183.52,NA
1904,8,183.52,NA
1904,9,183.58,NA
1904,10,183.61,NA
1904,11,183.64,NA
1904,12,183.54,NA
1905,1,183.43,NA
1905,2,183.31,NA
1905,3,183.28,NA
1905,4,183.31,NA
1905,5,183.34,NA
1905,6,183.44,NA
1905,7,183.54,NA
1905,8,183.6,NA
1905,9,183.64,NA
1905,10,183.69,NA
1905,11,183.63,NA
1905,12,183.6,NA
1906,1,183.51,NA
1906,2,183.41,NA
1906,3,183.37,NA
1906,4,183.29,NA
1906,5,183.37,NA
1906,6,183.44,NA
1906,7,183.55,NA
1906,8,183.55,NA
1906,9,183.55,NA
1906,10,183.54,NA
1906,11,183.49,NA
1906,12,183.44,NA
1907,1,183.35,NA
1907,2,183.29,NA
1907,3,183.25,NA
1907,4,183.25,NA
1907,5,183.23,NA
1907,6,183.38,NA
1907,7,183.46,NA
1907,8,183.49,NA
1907,9,183.58,NA
1907,10,183.63,NA
1907,11,183.57,NA
1907,12,183.47,NA
1908,1,183.32,NA
1908,2,183.23,NA
1908,3,183.19,NA
1908,4,183.14,NA
1908,5,183.19,NA
1908,6,183.38,NA
1908,7,183.49,NA
1908,8,183.54,NA
1908,9,183.51,NA
1908,10,183.47,NA
1908,11,183.4,NA
1908,12,183.28,NA
1909,1,183.2,NA
